Model,Accuracy,Recall,Precision,F1 Score
Logistic Regression,0.5623413973946879,0.43478260869565216,0.015533980582524271,0.029996250468691414
Random Forest,0.9727626459143969,0.358695652173913,0.24444444444444444,0.2907488986784141
XGBoost,0.8186432075790898,0.4891304347826087,0.04205607476635514,0.0774526678141136
